sp_id;correct_name;family;genus;taxon_rank;habit;wood_dens_gcm3;max_height_m;seed_size_g;disp_mode;eco_group;obs
Bougainvillea glabra;Bougainvillea glabra;Nyctaginaceae;Bougainvillea;species;tree;0.45;20;0.088171616;anemochoric;2;
Bougainvillea sp.;Bougainvillea sp.;Nyctaginaceae;Bougainvillea;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Bougainvillea sp.1;Bougainvillea sp.;Nyctaginaceae;Bougainvillea;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Bowdichia sp.;Bowdichia sp.;Fabaceae;Bowdichia;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Bowdichia sp.1;Bowdichia sp.;Fabaceae;Bowdichia;NA;NA;NA;NA;NA;anemochoric|autochoric;NA;
Bowdichia virgilioides;Bowdichia virgilioides;Fabaceae;Bowdichia;species;tree;0.888;18;0.026412706;anemochoric;2;
Brachiaria plantaginea;Urochloa plantaginea;Poaceae;Urochloa;species;NA;NA;NA;0.002656048;autochoric;NA;
Brasiliocroton muricatus;Brasiliocroton muricatus;Euphorbiaceae;Brasiliocroton;species;tree;0.96;20;0.344827586;autochoric;NA;
Bromeliaceae sp.;Bromeliaceae sp.;Bromeliaceae;Bromeliaceae;NA;NA;NA;NA;NA;NA;NA;
Bromeliaceae sp.1;Bromeliaceae sp.;Bromeliaceae;Bromeliaceae;NA;NA;NA;NA;NA;NA;NA;
Brosimum guianense;Brosimum guianense;Moraceae;Brosimum;species;tree;0.774111111;30;1.538461538;zoochoric;2;
Brosimum lactescens;Brosimum lactescens;Moraceae;Brosimum;species;tree;0.648142857;28;1;zoochoric;4;
Brosimum rubescens;Brosimum rubescens;Moraceae;Brosimum;species;tree;0.824;32;1.33600829;zoochoric;2;
Brosimum sp.;Brosimum sp.;Moraceae;Brosimum;NA;NA;NA;NA;NA;zoochoric;NA;
Brosimum sp.1;Brosimum sp.;Moraceae;Brosimum;NA;NA;NA;NA;NA;zoochoric;NA;
Buchenavia tetraphylla;Buchenavia tetraphylla;Combretaceae;Buchenavia;species;tree;0.642727273;30;0.58604;zoochoric;3;
Bunchosia armeniaca;Bunchosia armeniaca;Moraceae;Bunchosia;genus;tree;0.65;NA;0.1933485;zoochoric;NA;
Bunchosia sp.;Bunchosia sp.;Malpighiaceae;Bunchosia;NA;NA;NA;NA;NA;zoochoric;NA;
Bunchosia sp.1;Bunchosia sp.;Malpighiaceae;Bunchosia;NA;NA;NA;NA;NA;zoochoric;NA;
Byrsonima intermedia;Byrsonima intermedia;Malpighiaceae;Byrsonima;species;shrub;0.735;8;0.545363725;zoochoric;NA;
Byrsonima ligustrifolia;Byrsonima ligustrifolia;Malpighiaceae;Byrsonima;species;tree;0.470653598;23;0.14892;zoochoric;2;
Byrsonima salzmanniana;Byrsonima salzmanniana;Malpighiaceae;Byrsonima;species;tree;0.62506829;NA;0.545363725;zoochoric;NA;
Byrsonima sericea;Byrsonima sericea;Malpighiaceae;Byrsonima;species;tree;0.755;17;0.153846154;zoochoric;1;
Byrsonima sp.;Byrsonima sp.;Malpighiaceae;Byrsonima;NA;NA;NA;NA;NA;zoochoric;NA;
Byrsonima sp.1;Byrsonima sp.;Malpighiaceae;Byrsonima;NA;NA;NA;NA;NA;zoochoric;NA;
Cabralea canjerana;Cabralea canjerana;Meliaceae;Cabralea;species;tree;0.511900198;25;0.637041926;zoochoric;2;
Calea pinnatifida;Calea pinnatifida;Asteraceae;Calea;species;NA;0.530140648;NA;0.000225;anemochoric;NA;
Calea sp.;Calea sp.;Asteraceae;Calea;NA;NA;NA;NA;NA;anemochoric;NA;
Calea sp.1;Calea sp.;Asteraceae;Calea;NA;NA;NA;NA;NA;anemochoric;NA;
Calliandra bella;Calliandra bella;Fabaceae;Calliandra;species;shrub;0.883333333;8;0.0610057;autochoric;NA;
Callicarpa nudiflora;Callicarpa nudiflora;Malpighiaceae;Callicarpa;genus;NA;0.633954639;NA;0.000915067;zoochoric;NA;
Callichlamys latifolia;Callichlamys latifolia;Bignoniaceae;Callichlamys;species;others;0.700749342;NA;0.399;anemochoric;NA;
Calophyllum brasiliense;Calophyllum brasiliense;Calophyllaceae;Calophyllum;species;tree;0.600996997;25;2.94375;zoochoric;2;
Calopogonium mucunoides;Calopogonium mucunoides;Fabaceae;Calopogonium;species;NA;0.68965031;NA;0.0133;autochoric;NA;
Calycophyllum multiflorum;Calycophyllum multiflorum;Rubiaceae;Calycophyllum;species;tree;0.7375;12;0.02;autochoric;2;
Calyptranthes brasiliensis;Calyptranthes brasiliensis;Myrtaceae;Calyptranthes;species;tree;0.74;20;0.095238095;zoochoric;2;
Calyptranthes concinna;Calyptranthes concinna;Myrtaceae;Calyptranthes;species;tree;0.676666667;20;0.056497175;zoochoric;2;
Calyptranthes grandifolia;Calyptranthes brasiliensis;Myrtaceae;Calyptranthes;species;tree;0.74;20;0.095238095;zoochoric;2;
Calyptranthes lucida;Calyptranthes lucida;Myrtaceae;Calyptranthes;species;tree;0.690573977;20;0.219408624;zoochoric;3;
Calyptranthes rubella;Calyptranthes rubella;Myrtaceae;Calyptranthes;species;tree;0.690813383;18;0.219408624;zoochoric;2;
Calyptranthes sp.;Calyptranthes sp.;Myrtaceae;Calyptranthes;NA;NA;NA;NA;NA;zoochoric;NA;
Calyptranthes sp.1;Calyptranthes sp.;Myrtaceae;Calyptranthes;NA;NA;NA;NA;NA;zoochoric;NA;
Calyptranthes sp.2;Calyptranthes sp.;Myrtaceae;Calyptranthes;NA;NA;NA;NA;NA;zoochoric;NA;
Campomanesia guaviroba;Campomanesia guaviroba;Myrtaceae;Campomanesia;species;tree;0.685302188;20;0.123142568;zoochoric;3;
Campomanesia guazumifolia;Campomanesia guazumifolia;Myrtaceae;Campomanesia;species;tree;0.6;15;0.045454545;zoochoric;2;
Campomanesia rhombea;Campomanesia xanthocarpa;Myrtaceae;Campomanesia;species;tree;0.709766667;20;0.084615385;zoochoric;3;
